Hostname,ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed
INBANL-PC0EX5K3,1,43,C:\Users\vigneshb\AppData\Local\Temp\13DC8A5B-3780-48D5-9A1B-C1C1487AACFB\dismhost.exe,7/16/2016 6:04,NA
INBANL-PC0EX5K3,1,44,C:\Program Files\Windows Defender\MSASCui.exe,4/27/2017 23:52,NA
INBANL-PC0EX5K3,1,45,C:\WINDOWS\SysWOW64\Macromed\Temp\{64827314-96D9-42EF-8BD2-F7A8F8DF8A93}\InstallFlashPlayer.exe,9/20/2017 4:23,NA
INBANL-PC0EX5K3,1,46,C:\WINDOWS\system32\Macromed\Temp\{64827314-96D9-42EF-8BD2-F7A8F8DF8A93}\InstallFlashPlayer.exe,9/20/2017 4:23,NA
INBANL-PC0EX5K3,1,47,C:\WINDOWS\TEMP\{05E6D311-4793-44BE-ACA2-A50B5B5129AE}\InstallPlugin_27_0_0_130.exe,8/29/2017 9:09,NA
INBANL-PC0EX5K3,1,48,C:\WINDOWS\SysWOW64\Macromed\Temp\{B6EFA603-9338-46AF-A594-439639768D3D}\InstallFlashPlayer.exe,9/20/2017 4:23,NA
INBANL-PC0EX5K3,1,49,C:\WINDOWS\system32\Macromed\Temp\{B6EFA603-9338-46AF-A594-439639768D3D}\InstallFlashPlayer.exe,9/20/2017 4:23,NA
INBANL-PC0EX5K3,1,50,C:\WINDOWS\SysWOW64\Macromed\Flash\FlashUtil32_26_0_0_137_Plugin.exe,7/26/2017 9:04,NA
INBANL-PC0EX5K3,1,51,C:\Users\vigneshb\AppData\Local\GoToMeeting\7638\g2mupload.exe,9/19/2017 9:05,NA
INBANL-PC0EX5K3,1,52,C:\WINDOWS\system32\xcopy.exe,7/16/2016 11:42,NA
INBANL-PC0EX5K3,1,53,C:\WINDOWS\system32\tasklist.exe,7/16/2016 11:42,NA
INBANL-PC0EX5K3,1,54,C:\Users\vigneshb\Desktop\Evidence_logs.bat,9/19/2017 10:07,NA
INBANL-PC0EX5K3,1,55,C:\Users\vigneshb\AppData\Local\GoToMeeting\7638\g2mupdate.exe,9/19/2017 9:05,NA
