Hostname,Image Name,PID,Session Name,Session#,Mem Usage,Status,User Name,CPU Time,Window Title
INBANL-PC0EX5K3,slack.exe,10532,Console,2,"120,872 K",Unknown,3AMLABS\vigneshb,0:00:10,N/A
INBANL-PC0EX5K3,GoToMeeting Messenger.exe,4204,Console,2,"106,372 K",Unknown,3AMLABS\vigneshb,0:00:06,N/A
INBANL-PC0EX5K3,slack.exe,11684,Console,2,"265,188 K",Unknown,3AMLABS\vigneshb,0:01:20,N/A
INBANL-PC0EX5K3,chrome.exe,9516,Console,2,"290,680 K",Running,3AMLABS\vigneshb,0:10:20,https://www.google.co.in/url?sa=t&rct=j&q=&esrc=s&source=web&cd=5&cad=rja&uact=8&ved=0ahUKEwiIvLydpMDWAhXKQo8KHdXDDSQQFgg6MAQ&url=https%3A%2F%2Fs3.amazonaws.com%2Fxipy-examples%2Fxively_pub.py&usg=AFQjCNELGGcWtYML_7mM_VGEhQDgY_N64Q - Google Chrome
INBANL-PC0EX5K3,chrome.exe,3164,Console,2,"9,652 K",Running,3AMLABS\vigneshb,0:00:00,N/A
INBANL-PC0EX5K3,chrome.exe,11236,Console,2,"10,032 K",Running,3AMLABS\vigneshb,0:00:00,N/A
INBANL-PC0EX5K3,chrome.exe,6148,Console,2,"161,788 K",Running,3AMLABS\vigneshb,0:02:18,N/A
INBANL-PC0EX5K3,chrome.exe,11284,Console,2,"146,748 K",Unknown,3AMLABS\vigneshb,0:00:45,N/A
INBANL-PC0EX5K3,chrome.exe,6644,Console,2,"109,440 K",Unknown,3AMLABS\vigneshb,0:00:31,N/A
INBANL-PC0EX5K3,chrome.exe,5636,Console,2,"83,404 K",Unknown,3AMLABS\vigneshb,0:00:18,N/A
INBANL-PC0EX5K3,chrome.exe,7992,Console,2,"64,204 K",Unknown,3AMLABS\vigneshb,0:00:02,N/A
INBANL-PC0EX5K3,chrome.exe,6768,Console,2,"71,476 K",Unknown,3AMLABS\vigneshb,0:00:02,N/A
INBANL-PC0EX5K3,chrome.exe,10976,Console,2,"70,820 K",Unknown,3AMLABS\vigneshb,0:00:02,N/A
INBANL-PC0EX5K3,chrome.exe,7268,Console,2,"91,340 K",Unknown,3AMLABS\vigneshb,0:00:02,N/A
INBANL-PC0EX5K3,chrome.exe,11816,Console,2,"45,172 K",Unknown,3AMLABS\vigneshb,0:00:01,N/A
INBANL-PC0EX5K3,chrome.exe,2484,Console,2,"69,880 K",Unknown,3AMLABS\vigneshb,0:00:02,N/A
INBANL-PC0EX5K3,chrome.exe,9924,Console,2,"90,712 K",Unknown,3AMLABS\vigneshb,0:00:02,N/A
INBANL-PC0EX5K3,chrome.exe,10664,Console,2,"32,264 K",Unknown,3AMLABS\vigneshb,0:00:01,N/A
INBANL-PC0EX5K3,ApplicationFrameHost.exe,2752,Console,2,"24,520 K",Running,3AMLABS\vigneshb,0:00:02,Photos
INBANL-PC0EX5K3,dllhost.exe,5412,Console,2,"10,656 K",Running,3AMLABS\vigneshb,0:00:07,OleMainThreadWndName
INBANL-PC0EX5K3,Microsoft.Photos.exe,2940,Console,2,"100,860 K",Running,3AMLABS\vigneshb,0:00:05,Photos
INBANL-PC0EX5K3,chrome.exe,8732,Console,2,"137,996 K",Unknown,3AMLABS\vigneshb,0:02:08,N/A
INBANL-PC0EX5K3,chrome.exe,9608,Console,2,"77,476 K",Unknown,3AMLABS\vigneshb,0:00:08,N/A
INBANL-PC0EX5K3,Microsoft.StickyNotes.exe,9124,Console,2,"67,872 K",Running,3AMLABS\vigneshb,0:00:03,Sticky Notes
INBANL-PC0EX5K3,SearchUI.exe,9040,Console,2,"95,288 K",Running,3AMLABS\vigneshb,0:00:04,Cortana
INBANL-PC0EX5K3,chrome.exe,5856,Console,2,"65,184 K",Unknown,3AMLABS\vigneshb,0:00:06,N/A
INBANL-PC0EX5K3,chrome.exe,4264,Console,2,"75,036 K",Unknown,3AMLABS\vigneshb,0:00:08,N/A
INBANL-PC0EX5K3,chrome.exe,7860,Console,2,"75,680 K",Unknown,3AMLABS\vigneshb,0:00:03,N/A
INBANL-PC0EX5K3,chrome.exe,1524,Console,2,"74,712 K",Unknown,3AMLABS\vigneshb,0:00:08,N/A
INBANL-PC0EX5K3,chrome.exe,6576,Console,2,"73,592 K",Unknown,3AMLABS\vigneshb,0:00:03,N/A
INBANL-PC0EX5K3,chrome.exe,6188,Console,2,"46,928 K",Unknown,3AMLABS\vigneshb,0:00:02,N/A
INBANL-PC0EX5K3,chrome.exe,1656,Console,2,"70,380 K",Unknown,3AMLABS\vigneshb,0:00:04,N/A
INBANL-PC0EX5K3,notepad++.exe,11860,Console,2,"23,248 K",Running,3AMLABS\vigneshb,0:00:07,C:\Users\vigneshb\Desktop\Evidence_logs.bat - Notepad++
INBANL-PC0EX5K3,SystemSettingsBroker.exe,11748,Console,2,"13,180 K",Unknown,3AMLABS\vigneshb,0:00:00,N/A
INBANL-PC0EX5K3,SearchIndexer.exe,7368,Services,0,"45,152 K",Unknown,NT AUTHORITY\SYSTEM,0:00:12,N/A
INBANL-PC0EX5K3,armsvc.exe,10980,Services,0,"7,360 K",Unknown,NT AUTHORITY\SYSTEM,0:00:00,N/A
INBANL-PC0EX5K3,chrome.exe,7284,Console,2,"86,976 K",Unknown,3AMLABS\vigneshb,0:00:07,N/A
